Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Redmere 2,Mean-variance (Student-t),0.707 ± 0.007,1.51 ± 0.04,2.19 ± 0.24,0.576 ± 0.029,0.833 ± 0.028,0.882 ± 0.029,3.60 ± 0.38,0.089 ± 0.011,1.66 ± 0.26,0.03 ± 0.01,19.0 ± 0.6,10.01 ± 3.60,5
Redmere 2,Mean-variance (ALD),0.701 ± 0.008,2.57 ± 0.62,1.98 ± 0.07,0.540 ± 0.033,0.830 ± 0.033,0.881 ± 0.029,3.32 ± 0.45,0.074 ± 0.008,2.00 ± 0.36,0.00 ± 0.01,19.5 ± 0.1,7.83 ± 3.08,5
Redmere 2,Analytical SDE (Gaussian),0.773,1.89,2.25,0.747,0.921,0.937,5.06,0.162,1.01,-0.00,19.4,25.17,1
Redmere 2,Analytical SDE (Student-t),0.733,1.49,1.68,0.486,0.689,0.729,1.63,0.110,3.13,-0.00,19.4,3.59,1
Redmere 2,MDN (mixture),0.697 ± 0.007,1.56 ± 0.03,2.07 ± 0.08,0.478 ± 0.050,0.831 ± 0.028,0.895 ± 0.017,3.43 ± 0.23,0.059 ± 0.009,1.44 ± 0.10,-0.00 ± 0.01,19.4 ± 0.1,9.40 ± 2.50,5
Redmere 2,Random Forest,—,—,1.54 ± 0.01,—,—,—,—,—,—,—,—,—,5
Redmere 2,XGBoost,—,—,1.67 ± 0.00,—,—,—,—,—,—,—,—,—,5
Great Fen,"WienerNet-SS (ALD, primary)",0.890 ± 0.007,4.04 ± 1.14,2.36 ± 0.13,0.417 ± 0.054,0.794 ± 0.048,0.851 ± 0.041,4.04 ± 0.62,0.056 ± 0.027,2.56 ± 0.54,-0.00 ± 0.01,15.1 ± 0.3,11.90 ± 3.84,5
Great Fen,WienerNet-SS (Gaussian),0.928 ± 0.029,1.96 ± 0.04,2.77 ± 0.16,0.682 ± 0.051,0.913 ± 0.021,0.938 ± 0.016,6.14 ± 0.76,0.119 ± 0.030,0.97 ± 0.12,-0.03 ± 0.02,14.9 ± 0.4,26.49 ± 8.73,5
Great Fen,WienerNet-SS (beta-NLL),0.895 ± 0.016,2.00 ± 0.07,2.54 ± 0.12,0.604 ± 0.035,0.872 ± 0.021,0.904 ± 0.018,5.00 ± 0.50,0.086 ± 0.025,1.21 ± 0.12,-0.01 ± 0.01,15.0 ± 0.5,18.18 ± 7.63,5
