Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Redmere 1,WienerNet-SS (state-space),4.21 ± 1.04,5.85 ± 1.84,2.67 ± 0.43,4.446 ± 4.959,7.829 ± 9.244,2.313 ± 1.319,0.330 ± 0.039,0.986 ± 0.015,25.97 ± 19.22,5
Redmere 1,"WienerNet-SS (state-space, +residual)",3.65 ± 1.56,5.28 ± 2.48,2.38 ± 0.95,12.212 ± 18.560,22.071 ± 34.092,4.394 ± 4.840,0.314 ± 0.043,0.980 ± 0.013,60.01 ± 82.66,5
Redmere 1,"WienerNet-SS (state-space, predicted-k)",5.25 ± 0.88,7.52 ± 1.65,2.72 ± 0.08,6.205 ± 7.359,10.961 ± 13.417,2.574 ± 1.928,0.304 ± 0.033,0.992 ± 0.005,33.76 ± 31.36,5
Redmere 1,WienerNet-SS (ALD + sigma_struct band),5.32 ± 0.54,7.86 ± 0.86,2.96 ± 0.08,1.310 ± 0.067,2.052 ± 0.092,1.469 ± 0.036,0.335 ± 0.028,0.990 ± 0.008,13.26 ± 0.48,5
Redmere 1,"WienerNet-SS (given-diurnal, Wiener)",1.62 ± 0.00,1.81 ± 0.00,1.43 ± 0.00,0.811 ± 0.011,1.064 ± 0.032,1.176 ± 0.057,0.295 ± 0.012,0.994 ± 0.006,12.33 ± 1.02,5
Redmere 1,"WienerNet-SS (given-diurnal, state-sp)",1.62 ± 0.00,1.81 ± 0.00,1.43 ± 0.00,0.827 ± 0.038,1.086 ± 0.068,1.150 ± 0.047,0.287 ± 0.009,0.987 ± 0.006,11.93 ± 0.76,5
Redmere 1,Neural SDE (Gaussian),640.59 ± 293.77,870.35 ± 399.17,375.13 ± 171.98,42.770 ± 20.973,79.943 ± 39.275,13.621 ± 5.903,0.292 ± 0.036,0.986 ± 0.007,104.69 ± 91.51,5
Redmere 1,Neural SDE (Student-t),216.77 ± 88.56,294.39 ± 120.18,126.98 ± 51.96,26.834 ± 12.844,48.667 ± 23.230,9.042 ± 3.948,0.256 ± 0.062,0.994 ± 0.004,108.00 ± 81.47,5
Redmere 1,Neural SDE (ALD),34.59 ± 46.87,46.86 ± 63.69,20.50 ± 27.28,5.473 ± 4.499,9.825 ± 8.403,2.601 ± 1.208,0.293 ± 0.083,0.990 ± 0.010,22.27 ± 22.40,5
Redmere 1,Mean-variance (Gaussian),79.44 ± 42.16,107.92 ± 57.30,46.53 ± 24.67,6.455 ± 3.281,11.551 ± 6.140,3.080 ± 1.100,0.261 ± 0.028,0.991 ± 0.006,16.94 ± 2.77,5
