model,site,crps_mean,crps_std,cov90_mean,cov90_std,cov95_mean,cov95_std,pit_ks_mean,pit_ks_std,rmse_mean,rmse_std
"WienerNet-SS (learned-diurnal, Wiener, +resid)",redmere_2,0.7342198877335674,0.020998479959532114,0.8484848484848485,0.016329982737116517,0.895947426067908,0.011863976769381107,0.06755878869892507,0.008646158605528887,2.296499172846476,0.19260963116411164
"WienerNet-SS (learned-diurnal, Wiener, +resid)",rosedene,0.7403144358473309,0.017493968385426682,0.7372981050489634,0.10306010176469392,0.8002034846750604,0.08828619066213839,0.10575579466042195,0.026974371283167365,2.017619808514913,0.15064180593858936
"WienerNet-SS (learned-diurnal, Wiener, +resid)",woodwalton,0.5019239427309933,0.008862825724821947,0.6184067427949973,0.0660587103326124,0.6730365882078769,0.06398789405381014,0.19791008636788796,0.04820333326015553,1.2841908931732178,0.031113807590903667
"WienerNet-SS (learned-diurnal, state-sp)",great_fen,0.9511573274122208,0.07180416314374233,0.8530701754385964,0.0581384636110381,0.89651605428666,0.0454422062199474,0.0563007320381721,0.023688171917335184,3.3867112000783286,1.1654995308067075
"WienerNet-SS (learned-diurnal, state-sp)",redmere_1,8.07444016545904,7.83786662350624,0.8887197699983088,0.01939658021230857,0.9251648909183157,0.015024954738671608,0.03709597411180962,0.013140872560286173,1122.332708120346,1182.3405133229962
"WienerNet-SS (learned-diurnal, state-sp)",redmere_2,0.7994607832816251,0.16048397462069233,0.8805677254472436,0.03316824735332772,0.9218236582694415,0.02404226035621354,0.09532047429686964,0.026654323236938164,2.8884881337483725,0.9984851968226547
"WienerNet-SS (learned-diurnal, state-sp)",rosedene,0.7337096951856287,0.0077160170996426174,0.7741955996439018,0.07585618678672322,0.8299790156428845,0.06110679336899773,0.064874634694891,0.04415949382356897,1.9791131416956584,0.0738158211547722
"WienerNet-SS (learned-diurnal, state-sp)",woodwalton,0.5745000092229865,0.04981498640735725,0.5292666822030606,0.32938936346892267,0.5750407830342578,0.3135774364799034,0.33578595180802623,0.16897303633886515,1.4975489775339763,0.32075682036904907
"WienerNet-SS (learned-diurnal, state-sp, +resid)",great_fen,0.9472133504616694,0.025501092279191406,0.8723932472691162,0.07501883301717197,0.9141426679907315,0.051750058199432424,0.085612926387876,0.005259921862525678,3.106409470240275,0.5756127221498848
"WienerNet-SS (learned-diurnal, state-sp, +resid)",redmere_1,2.248373669398309,1.4350882375556442,0.9211060375443937,0.01769031290878859,0.9526467106375782,0.011374109813955738,0.06337741705166709,0.026968352697283225,105.10179813702901,108.43722382830424
"WienerNet-SS (learned-diurnal, state-sp, +resid)",redmere_2,0.737985791817474,0.024104253849682043,0.8944414019715224,0.04486869083453201,0.9339174881343556,0.033781407953186515,0.10355864910187668,0.022855151304039922,2.753408670425415,0.42544063253010644
"WienerNet-SS (learned-diurnal, state-sp, +resid)",rosedene,0.7344546244667439,0.011313921049233242,0.788868752384586,0.09773535899983818,0.8430783415998983,0.07999319582374359,0.06362610767436683,0.04558256363084698,2.016910195350647,0.1331500648331196
"WienerNet-SS (learned-diurnal, state-sp, +resid)",woodwalton,0.524111987049763,0.039895356964448805,0.7082071001320593,0.11689343825420241,0.7571079002563504,0.10283338932195978,0.20802126311026314,0.06427785172101823,1.3953426281611125,0.04079922708178054
XGBoost,great_fen,,,,,,,,,1.610469102859497,0.0
XGBoost,redmere_1,,,,,,,,,1.347701907157898,0.0
XGBoost,redmere_2,,,,,,,,,1.6705604791641235,0.0
XGBoost,rosedene,,,,,,,,,1.7272568941116333,0.0
XGBoost,woodwalton,,,,,,,,,2.3056743144989014,0.0
