model,site,seed,crps,nll,cov50,cov90,cov95,sharp50,sharp90,sharp95,pit_mean,pit_var,pit_ks,rmse_floor,mean_z,std_z,acf1,drift_r2,noise_skew,noise_exkurt,noise_tail3sd,energy_distance,vvs_ratio_maxwin,rmse
  tendency: given-diurnal (Wiener),redmere_2,0,0.703575040645075,1.8264806792682422,0.5828313253012049,0.874315443592552,0.9185377875136911,1.3749396519583466,4.458616598805479,5.6792775489900915,0.5069300519609385,0.0725148242208775,0.08676957814214753,1.4304458489007619,-0.022673753935934356,1.5048056901275926,"{'lag': 2, 'hours': 1.0, 'acf': -0.005182328984332424, 'n': 5057}",-0.005779909797701377,-0.767892933012663,19.495003460999314,0.024233296823658268,0.014027509078017308,11.207134110867724,2.479963779449463
  tendency: given-diurnal (Wiener),redmere_2,1,0.7388781095862419,2.1025207191545974,0.5998083242059146,0.8714403066812705,0.9130613362541073,1.5583040642471493,5.0503805526598535,6.430994169926625,0.5063498734611608,0.07001092208346542,0.09772773935506845,1.4304458489007619,-0.040825052631202514,1.609556493430257,"{'lag': 2, 'hours': 1.0, 'acf': -0.01583512269021795, 'n': 5057}",-0.005779909797701377,-0.767892933012663,19.495003460999314,0.024233296823658268,0.016441672633586757,12.776665305737826,2.5839805603027344
  tendency: given-diurnal (Wiener),redmere_2,42,0.7151147906156469,1.8774247535940178,0.6162376779846659,0.8926615553121577,0.9349671412924425,1.4942418379986584,4.83793998127487,6.160485876429627,0.507282496843981,0.06561282024554393,0.10158653604948414,1.4304458489007619,-0.025584304657596778,1.4326505822888493,"{'lag': 2, 'hours': 1.0, 'acf': -2.965970610100472e-05, 'n': 5057}",-0.005779909797701377,-0.767892933012663,19.495003460999314,0.024233296823658268,0.02329486160007188,18.455961680215673,2.417585849761963
  tendency: given-diurnal (Wiener),great_fen,0,0.9265664482645668,3.514301939262417,0.5616931479642503,0.8679245283018868,0.9042949354518371,2.0399611143870677,6.5742724337025935,8.371228063999196,0.5102024472735379,0.07629120285079517,0.04902566324023783,1.6619211733304229,0.024416083493502917,2.213172057291959,"{'lag': 2, 'hours': 1.0, 'acf': 0.002065290757747755, 'n': 5967}",-0.0101006146288245,-0.37081955466370403,15.311646328005505,0.02432969215491559,0.00586658235752191,25.6721063591357,3.056666612625122
  tendency: given-diurnal (Wiener),great_fen,1,0.9110598272551974,4.942496760968805,0.5310327706057597,0.8669314796425025,0.9088877855014895,1.930827903628808,6.236842376207552,7.948865369783548,0.5065952717595614,0.07967535238555613,0.03253854703778303,1.6619211733304229,0.05861023984889079,2.811310696837866,"{'lag': 2, 'hours': 1.0, 'acf': -0.0945634199614482, 'n': 5967}",-0.0101006146288245,-0.37081955466370403,15.311646328005505,0.02432969215491559,0.0015880131278029896,21.392116649131736,3.13627290725708
  tendency: given-diurnal (Wiener),great_fen,42,0.8925737066792022,4.410483994635705,0.39250248262164844,0.7749503475670307,0.8416087388282025,1.2216087319830833,3.94372333689725,5.021934561866083,0.5026636348024199,0.10642809814082174,0.06336620053366926,1.6619211733304229,-0.008391506649073614,2.767942846706154,"{'lag': 2, 'hours': 1.0, 'acf': 0.030195013852403845, 'n': 5967}",-0.0101006146288245,-0.37081955466370403,15.311646328005505,0.02432969215491559,0.03763263468211475,10.440970286338725,2.4373319149017334
  tendency: given-diurnal (state-space),woodwalton,0,0.4939046259645771,99.87700401756574,0.5269168026101142,0.7423677464460499,0.7787229084129573,0.5770809497945829,1.8601425822016902,2.3701653684902992,0.5090856129517145,0.09397635524637696,0.09590854265099963,1.5677589430343275,-0.7221229726355297,14.160080630124114,"{'lag': 2, 'hours': 1.0, 'acf': -0.0034795121733616485, 'n': 13127}",-0.029877525179995423,-0.8019087552104525,49.752345580289735,0.021789792589140062,0.013055365194475255,5.209070442151978,1.5231225490570068
  tendency: given-diurnal (state-space),woodwalton,1,0.4860003244264059,208.50998189982687,0.4525168958284782,0.6642973665812165,0.7011768818457236,0.23815617280502407,0.7697083804290417,0.9817857975816833,0.506236722591117,0.11238991335191384,0.13433328959790508,1.5677589430343275,-0.48454569419748883,20.466428041359045,"{'lag': 2, 'hours': 1.0, 'acf': -0.030011118603759126, 'n': 13127}",-0.029877525179995423,-0.8019087552104525,49.752345580289735,0.021789792589140062,0.05901972606504838,0.5074385411544723,1.2772070169448853
  tendency: given-diurnal (state-space),woodwalton,42,0.62311999129787,2.2619812745600507,0.8237590305290142,0.9575856443719413,0.9718597063621534,2.0729126691103303,6.696198893014616,8.541604464017093,0.49758402791125517,0.0321224286686846,0.22035564707539101,1.5677589430343275,-0.06393069536319056,1.460224057839967,"{'lag': 2, 'hours': 1.0, 'acf': -0.0450490855546492, 'n': 13127}",-0.029877525179995423,-0.8019087552104525,49.752345580289735,0.021789792589140062,0.18102584404451294,37.61276455113764,2.6890079975128174
  tendency: given-diurnal (state-space),rosedene,0,0.7271771333504576,3.6642606419690558,0.44901755055322395,0.8196299122472339,0.8704692865318581,0.8567383434624013,2.765715965684162,3.527027051707067,0.5098882123514553,0.09515209444182092,0.03717223146786841,1.6879225953531205,-0.010188151811449204,2.5707019465322936,"{'lag': 2, 'hours': 1.0, 'acf': -0.022982921938406186, 'n': 15188}",-0.004305193291310516,-0.6035767141699183,41.89966075996932,0.020221289584128194,0.03523509698573579,5.53604429438965,2.019421339035034
  tendency: given-diurnal (state-space),rosedene,1,0.7360239919884884,5.937565988914013,0.3628386112170927,0.7553414727203358,0.8157191911484166,0.6849296884135105,2.2121148290965404,2.8211235064694065,0.5079456010739216,0.11285181451322826,0.07907944685037605,1.6879225953531205,-0.012008560412168702,3.4194095152295043,"{'lag': 2, 'hours': 1.0, 'acf': -0.007382825750548634, 'n': 15188}",-0.004305193291310516,-0.6035767141699183,41.89966075996932,0.020221289584128194,0.06032569898239937,4.220933467216876,1.9548940658569336
  tendency: given-diurnal (state-space),rosedene,42,0.7259852568814076,7.21613555852918,0.4016119801602442,0.7779473483403281,0.8350820297596337,0.8428143912841748,2.722323089145772,3.4714139974617777,0.5092030570369921,0.10567668790184509,0.06252717117227036,1.6879225953531205,-0.00031477571029400845,3.7461738328744376,"{'lag': 2, 'hours': 1.0, 'acf': -0.024319963507827738, 'n': 15188}",-0.004305193291310516,-0.6035767141699183,41.89966075996932,0.020221289584128194,0.03344402049979556,4.688247035265949,2.033045768737793
  tendency: given-diurnal (state-space),redmere_1,0,0.9255998334030827,1.5407794196602846,0.589041095890411,0.928462709284627,0.9540842212075089,3.275436561256987,10.614740664861197,13.792390828698919,0.5137499212297242,0.06629530419666986,0.06574623613866665,1.5091149084560704,-0.005568135969770608,1.203201422836236,"{'lag': 2, 'hours': 1.0, 'acf': -0.025803844283878326, 'n': 2679}",-0.00018265578322185227,-0.07108504727963595,13.194590531249407,0.01902587519025875,0.006917395859007858,12.184930900074002,156.1964569091797
  tendency: given-diurnal (state-space),redmere_1,1,0.683422804928927,30398.63736941414,0.5903094875697615,0.9147640791476408,0.9454591577879249,1.9577325183240473,6.3268606898492505,8.075915281402574,0.5116928662091537,0.06731282730906443,0.06253440550965414,1.5091149084560704,-4.058049166193075,246.5342406034649,"{'lag': 2, 'hours': 1.0, 'acf': 0.29645641235631215, 'n': 2679}",-0.00018265578322185227,-0.07108504727963595,13.194590531249407,0.01902587519025875,0.017121391222763016,19.94150998443154,3.2702796459198
  tendency: given-diurnal (state-space),redmere_1,42,2.1576562179336443,71869.58802380406,0.5730593607305936,0.8990360223236935,0.9330289193302892,10.114653236832316,32.651436637957374,41.378821309180175,0.5150836162430612,0.07178499219164984,0.05955216540207897,1.5091149084560704,3.0210718069339055,379.1155030854857,"{'lag': 2, 'hours': 1.0, 'acf': -0.17482480127452557, 'n': 2679}",-0.00018265578322185227,-0.07108504727963595,13.194590531249407,0.01902587519025875,0.011140444084892565,28.221341297588843,323.28887939453125
  tendency: given-diurnal (state-space),redmere_2,0,0.7109721488874846,2.5882881089960956,0.5308050383351588,0.8151697699890471,0.8693866374589266,1.0941135040966352,3.543655994920486,4.512421028613165,0.5063227623163113,0.08448545397404542,0.07671560242251374,1.4304458489007619,-0.032986449611186644,2.0426454437349997,"{'lag': 2, 'hours': 1.0, 'acf': 0.005819722772334018, 'n': 5057}",-0.005779909797701377,-0.767892933012663,19.495003460999314,0.024233296823658268,0.020432485507010822,9.784857387727268,2.1177430152893066
  tendency: given-diurnal (state-space),redmere_2,1,0.7562016938073938,1.8182658044145994,0.6605969331872946,0.9140197152245345,0.948658269441402,1.8796163510101738,6.078589964651901,7.739042590519354,0.5075793638800823,0.05794195906662286,0.12139322034080491,1.4304458489007619,-0.025454210214143392,1.2398263363627002,"{'lag': 2, 'hours': 1.0, 'acf': 0.01060850650250365, 'n': 5057}",-0.005779909797701377,-0.767892933012663,19.495003460999314,0.024233296823658268,0.041592984692397694,24.251264790674064,2.7699482440948486
  tendency: given-diurnal (state-space),redmere_2,42,0.7144129822804283,1.9547893527939009,0.6062431544359255,0.8849945235487404,0.9240142387732749,1.3650535544276499,4.4144333145655645,5.623097835768618,0.5094291152974989,0.06780725842796097,0.10036483895871812,1.4304458489007619,-0.03313602698062107,1.5188729895208368,"{'lag': 2, 'hours': 1.0, 'acf': 0.009457911430171634, 'n': 5057}",-0.005779909797701377,-0.767892933012663,19.495003460999314,0.024233296823658268,0.02369336921534715,19.889956790821763,2.206514358520508
  tendency: given-diurnal (state-space),great_fen,0,0.919649150110886,5.392596019871064,0.4586643495531281,0.7931976166832175,0.8407398212512414,1.4736232969312455,4.758249552988529,6.059020929052487,0.509441683510965,0.09711552205164294,0.05911990768291009,1.6619211733304229,0.08562815197577939,3.052002596993531,"{'lag': 2, 'hours': 1.0, 'acf': 0.0198426740639003, 'n': 5967}",-0.0101006146288245,-0.37081955466370403,15.311646328005505,0.02432969215491559,0.012713511520495713,15.393558059516364,2.593510150909424
  tendency: given-diurnal (state-space),great_fen,1,0.895036572193102,3.220991767413337,0.4909384309831182,0.8434707050645481,0.8948609731876862,1.775539989908741,5.726021259198706,7.293486249741336,0.5058578593887315,0.08770829288657507,0.028154398742019415,1.6619211733304229,-0.006503768543788816,2.1676506529043835,"{'lag': 2, 'hours': 1.0, 'acf': 0.0051735554547448345, 'n': 5967}",-0.0101006146288245,-0.37081955466370403,15.311646328005505,0.02432969215491559,0.002578785037059106,19.732645997943177,2.878507137298584
  tendency: given-diurnal (state-space),great_fen,42,0.899650993942368,5.2792325761935786,0.46226415094339623,0.8104518371400199,0.858738828202582,1.482557462430314,4.7837776308037645,6.092463359548573,0.5063285742854445,0.09467870278334665,0.04737843935991071,1.6619211733304229,0.03159812141936494,3.0086662093598955,"{'lag': 2, 'hours': 1.0, 'acf': -0.0003912411972663433, 'n': 5967}",-0.0101006146288245,-0.37081955466370403,15.311646328005505,0.02432969215491559,0.011812435064203264,13.479076736817026,2.5729589462280273
  likelihood: Gaussian,woodwalton,0,0.5915691428571827,1.9057952520525356,0.7802377068282451,0.9181426240969471,0.9335819156373806,1.8032749461027895,4.327577811268387,5.086633812338637,0.49449213167898454,0.043149499097920874,0.18190184683549016,1.5677589430343275,-0.07722628367682528,1.3904668886115705,"{'lag': 2, 'hours': 1.0, 'acf': 0.01221029439280798, 'n': 13127}",-0.05054540652589723,-0.5442165561784422,46.26275429505883,0.021032393381496154,0.0803977859472429,26.119896483699293,2.1473793983459473
