Site,Model / ablation,RMSE 0-2h,RMSE 2-5h,RMSE 5h+,CRPS 0-2h,CRPS 2-5h,CRPS 5h+,PIT-KS 5h+,cov90 5h+,sharp 5h+,n
Great Fen,Neural SDE (Gaussian),2.25 ± 0.50,3.70 ± 1.72,6.28 ± 4.17,1.609 ± 0.807,2.475 ± 1.386,3.970 ± 2.579,0.289 ± 0.072,0.957 ± 0.059,33.86 ± 25.63,3
Great Fen,Neural SDE (Student-t),1.74 ± 0.09,2.09 ± 0.32,2.22 ± 0.38,1.000 ± 0.035,1.282 ± 0.114,1.603 ± 0.180,0.226 ± 0.028,0.981 ± 0.022,19.42 ± 2.78,3
Great Fen,Neural SDE (ALD),1.84 ± 0.10,2.39 ± 0.47,2.99 ± 1.16,1.044 ± 0.022,1.425 ± 0.101,1.849 ± 0.258,0.261 ± 0.024,0.958 ± 0.068,15.86 ± 4.08,3
Great Fen,Mean-variance (Gaussian),1.88 ± 0.12,2.54 ± 0.32,3.31 ± 0.35,1.073 ± 0.096,1.440 ± 0.179,1.741 ± 0.155,0.247 ± 0.054,0.970 ± 0.019,15.16 ± 2.32,3
Great Fen,Mean-variance (Student-t),1.84 ± 0.12,2.40 ± 0.46,2.83 ± 0.75,1.047 ± 0.051,1.367 ± 0.122,1.686 ± 0.196,0.255 ± 0.045,0.986 ± 0.010,18.96 ± 1.56,3
Great Fen,Mean-variance (ALD),1.73 ± 0.04,2.12 ± 0.11,2.42 ± 0.52,1.007 ± 0.054,1.280 ± 0.132,1.602 ± 0.191,0.198 ± 0.061,0.974 ± 0.023,15.15 ± 4.13,3
Great Fen,Analytical SDE (Gaussian),1.69,1.77,1.68,0.970,1.288,1.696,0.262,1.000,20.46,1
Great Fen,Analytical SDE (Student-t),1.69,1.77,1.68,0.928,0.970,0.951,0.103,0.910,6.13,1
Great Fen,MDN (mixture),1.72 ± 0.02,1.93 ± 0.16,1.89 ± 0.24,0.943 ± 0.030,1.136 ± 0.122,1.341 ± 0.236,0.214 ± 0.021,0.994 ± 0.008,14.87 ± 3.56,3
Great Fen,Random Forest,1.91 ± 0.01,1.45 ± 0.00,1.04 ± 0.01,—,—,—,—,—,—,3
Great Fen,XGBoost,1.97 ± 0.00,1.45 ± 0.00,1.06 ± 0.00,—,—,—,—,—,—,3
