Site,Model / ablation,CRPS,NLL,RMSE,cov50,cov90,cov95,sharp90,PIT-KS,std z,drift R2,ex-kurt,VvS ratio,n
Great Fen,WienerNet-SS (Gaussian),0.906 ± 0.022,2.05 ± 0.09,2.55 ± 0.21,0.619 ± 0.063,0.877 ± 0.029,0.907 ± 0.024,5.10 ± 0.88,0.086 ± 0.023,1.22 ± 0.17,-0.01 ± 0.01,15.0 ± 0.3,21.76 ± 11.74,5
Great Fen,WienerNet-SS (beta-NLL),0.915 ± 0.027,1.98 ± 0.06,2.66 ± 0.16,0.623 ± 0.039,0.887 ± 0.025,0.916 ± 0.022,5.44 ± 0.62,0.113 ± 0.042,1.12 ± 0.16,-0.02 ± 0.04,14.4 ± 0.4,20.68 ± 6.18,5
Great Fen,WienerNet-SS (Student-t),0.921 ± 0.022,2.06 ± 0.20,2.91 ± 1.02,0.503 ± 0.065,0.801 ± 0.075,0.846 ± 0.068,4.77 ± 1.38,0.068 ± 0.024,2.59 ± 0.55,0.00 ± 0.02,14.5 ± 0.4,27.59 ± 32.31,5
Great Fen,WienerNet-SS (mixture),0.904 ± 0.011,2.06 ± 0.14,2.55 ± 0.12,0.358 ± 0.038,0.840 ± 0.045,0.910 ± 0.030,4.78 ± 0.65,0.092 ± 0.010,1.20 ± 0.22,-0.01 ± 0.01,15.2 ± 0.2,18.77 ± 5.67,5
Great Fen,WienerNet-SS (+residual),0.902 ± 0.010,3.77 ± 1.53,2.54 ± 0.33,0.454 ± 0.097,0.820 ± 0.069,0.870 ± 0.055,4.65 ± 1.38,0.064 ± 0.025,2.35 ± 0.75,-0.00 ± 0.01,14.9 ± 0.4,16.58 ± 11.82,5
Great Fen,WienerNet-SS (state-space),0.893 ± 0.006,3.49 ± 0.81,2.60 ± 0.28,0.449 ± 0.061,0.820 ± 0.045,0.872 ± 0.038,4.64 ± 0.94,0.052 ± 0.010,2.30 ± 0.47,-0.00 ± 0.03,14.4 ± 0.7,16.74 ± 7.11,5
Great Fen,"WienerNet-SS (given-diurnal, Wiener)",0.904 ± 0.006,4.85 ± 1.40,2.50 ± 0.05,0.447 ± 0.034,0.800 ± 0.026,0.852 ± 0.018,4.44 ± 0.34,0.053 ± 0.012,2.85 ± 0.47,-0.01 ± 0.00,15.3 ± 0.0,16.66 ± 5.19,5
Great Fen,"WienerNet-SS (given-diurnal, state-sp)",0.897 ± 0.009,4.35 ± 1.47,2.48 ± 0.10,0.423 ± 0.043,0.790 ± 0.046,0.846 ± 0.040,4.19 ± 0.50,0.058 ± 0.024,2.68 ± 0.54,-0.01 ± 0.00,15.3 ± 0.0,12.60 ± 5.32,5
Great Fen,WienerNet-SS (predicted-k),0.893 ± 0.011,2.82 ± 0.54,2.60 ± 0.21,0.506 ± 0.071,0.855 ± 0.045,0.901 ± 0.034,5.13 ± 0.87,0.043 ± 0.018,1.92 ± 0.38,-0.01 ± 0.00,15.3 ± 0.0,19.83 ± 10.17,5
Great Fen,Neural SDE (Gaussian),0.911 ± 0.012,2.31 ± 0.34,2.55 ± 0.19,0.558 ± 0.066,0.836 ± 0.051,0.873 ± 0.043,4.75 ± 0.81,0.072 ± 0.027,1.50 ± 0.34,-0.03 ± 0.04,14.0 ± 1.3,14.68 ± 2.20,5
Great Fen,Neural SDE (Student-t),0.918 ± 0.038,2.10 ± 0.27,2.46 ± 0.09,0.478 ± 0.046,0.787 ± 0.048,0.832 ± 0.046,4.15 ± 0.39,0.057 ± 0.023,2.81 ± 1.09,-0.03 ± 0.04,13.3 ± 1.2,13.24 ± 4.05,5
Great Fen,Neural SDE (ALD),0.895 ± 0.020,4.22 ± 2.06,2.50 ± 0.17,0.439 ± 0.074,0.809 ± 0.065,0.863 ± 0.055,4.43 ± 0.80,0.051 ± 0.040,2.55 ± 0.80,0.00 ± 0.01,14.0 ± 0.8,13.54 ± 4.04,5
