model,site,seed,hour_bin,n,rmse,mae,bias,crps,cov90,sharp90,pit_ks
GT-k (primary),rosedene,1,06-09,214,0.5689528125152801,0.3763972077971307,0.06664498972001477,0.2952795140091921,0.677570093457944,0.8376957775683648,0.10789303229388358
GT-k (primary),rosedene,42,06-09,214,0.5677846997735595,0.3752448558807373,0.06260404241419285,0.3016760166060632,0.6728971962616822,0.8580798232777731,0.11099287498843342
GT-k (primary),redmere_1,0,06-09,269,0.882068125099442,0.5715270124403518,-0.026223690093228363,0.4805430091102881,0.8587360594795539,2.9386178936890452,0.11610659207184659
GT-k (primary),redmere_1,1,06-09,269,0.8876591934182659,0.5858991501721308,-0.07145234499279009,0.45818630417208694,0.9070631970260223,2.755191792214559,0.13093967389303987
GT-k (primary),redmere_1,42,06-09,269,2.8670263861218146,0.8318772390207837,0.18836797646430345,0.6760740611859414,0.8401486988847584,2.499104204358419,0.06170635650925688
GT-k (primary),redmere_2,0,06-09,589,1.143390528357602,0.6589626492675495,0.09722635317048302,0.5369420674658437,0.801358234295416,2.453115654067789,0.09059658088049882
GT-k (primary),redmere_2,1,06-09,589,1.1399622024603056,0.6597442913002767,0.08523216410793036,0.5404933571927695,0.8047538200339559,2.402667380610094,0.09031081376388905
GT-k (primary),redmere_2,42,06-09,589,1.3590226582741458,0.7170972084920657,0.1728792559246395,0.5971180239673595,0.8471986417657046,2.8705323100627997,0.12228311116340829
GT-k (primary),great_fen,0,06-09,612,1.271191293718236,0.9055419799451735,-0.08562508454315024,0.7842011631824903,0.946078431372549,6.025681984447012,0.14675143984986733
GT-k (primary),great_fen,1,06-09,612,1.4530206672636194,1.041863786141857,-0.5553551447742126,0.8910136081617398,0.880718954248366,6.354594156758434,0.20885912120623823
GT-k (primary),great_fen,42,06-09,612,1.3064562289319077,0.9016704760930118,-0.18693899670067957,0.7270474939161851,0.9199346405228758,4.920517394295844,0.14309519187212838
predicted-k,woodwalton,0,16-18,809,2.2540531459564512,1.394915206507493,1.182867073637004,1.3440505546187294,0.23856613102595797,0.28704073876228026,0.5809213183370253
predicted-k,woodwalton,1,16-18,809,1.0681836600726027,0.5309304892648431,-0.30805977932160217,0.47936483477442093,0.14585908529048208,0.2735586857857919,0.6055820044303566
predicted-k,woodwalton,42,16-18,809,1.0295990696971373,0.4311808868597995,0.024278655998196973,0.3654238264392642,0.6637824474660075,0.6965257032583642,0.10125567562936762
predicted-k,redmere_1,0,16-18,225,1.0096662610375728,0.6578912079334259,0.11257812963591682,0.5156668333408104,0.7866666666666666,2.1783704841567384,0.04811881188118805
predicted-k,redmere_1,1,16-18,225,0.872162792977866,0.5980827434857686,0.028596763875749377,0.4877186179209285,0.8488888888888889,2.655230981352383,0.09331133113311335
predicted-k,redmere_1,42,16-18,225,0.8782321915357965,0.604347913397683,0.04864386571778191,0.46756878902768423,0.8222222222222222,1.9588795101267003,0.07276127612761285
predicted-k,redmere_2,0,16-18,430,0.9689636015977839,0.5231542894573405,-0.04565926948778851,0.44798010364477586,0.8441860465116279,2.143376419878666,0.12551231867372786
predicted-k,redmere_2,1,16-18,430,0.9672323969454014,0.5213341229616902,-0.02491391080236712,0.434962941936238,0.8186046511627907,1.9740836199484897,0.11673958093483766
predicted-k,redmere_2,42,16-18,430,0.9651662938336929,0.5254689599192419,0.008264914536198905,0.44804281805613017,0.8767441860465116,2.4134441132604105,0.12251899608565509
predicted-k,great_fen,0,16-18,379,1.2040659955589552,0.8238967317389939,-0.04990735217575033,0.6481865276420258,0.7994722955145118,3.1491805046434873,0.07386556597612265
predicted-k,great_fen,1,16-18,379,1.204380322564309,0.8248750867818465,-0.05921130161486704,0.6676320633267114,0.7282321899736148,2.8074362803240565,0.09371979414300263
predicted-k,great_fen,42,16-18,379,1.2109712454622341,0.8298334424288103,-0.016692571715503382,0.6513036275877487,0.6306068601583114,1.9601330279586515,0.123553384362183
predicted-k,woodwalton,0,18-21,2656,2.6430651098212175,1.522359464449404,1.3340281954467161,1.4547607945621392,0.2835090361445783,0.39022637116696346,0.5296172313014433
predicted-k,woodwalton,1,18-21,2656,1.1393839126350076,0.6148373749084681,-0.31086872962404444,0.5659247580419555,0.11634036144578314,0.2539593934975679,0.6232964034355244
predicted-k,woodwalton,42,18-21,2656,1.2001185637099854,0.5990476682108928,0.2479613252904221,0.4912823684071272,0.639683734939759,0.9997114410293259,0.1741992723368722
